"7288","CWO - Electronics","Warrant Officer"
"7291","CWO - Submarine Communication Technician","Warrant Officer"
"7292","CWO - Submarine Communication Technician","Warrant Officer"
"7293","CWO - Submarine Communication Technician","Warrant Officer"
"7295","CWO - Submarine Communication Technician","Warrant Officer"
"7297","CWO - Submarine Communication Technician","Warrant Officer"
"7298","CWO - Submarine Communication Technician","Warrant Officer"
"7311","CWO - Boatswain","Warrant Officer"
"7312","CWO - Boatswain","Warrant Officer"
"7313","CWO - Boatswain","Warrant Officer"
"7315","CWO - Boatswain","Warrant Officer"
"7317","CWO - Boatswain","Warrant Officer"
"7318","CWO - Boatswain","Warrant Officer"
"7321","CWO - Operations","Warrant Officer"
"7322","CWO - Operations","Warrant Officer"
"7323","CWO - Operations","Warrant Officer"
"7325","CWO - Operations","Warrant Officer"
"7327","CWO - Operations","Warrant Officer"
"7328","CWO - Operations","Warrant Officer"
"7341","CWO - Aviation Maintenance Technician","Warrant Officer"
"7342","CWO - Aviation Maintenance Technician","Warrant Officer"
"7343","CWO - Aviation Maintenance Technician","Warrant Officer"
"7345","CWO - Aviation Maintenance Technician","Warrant Officer"
"7347","CWO - Aviation Maintenance Technician","Warrant Officer"
"7348","CWO - Aviation Maintenance Technician","Warrant Officer"
"7361","CWO - Ordnance","Warrant Officer"
"7362","CWO - Ordnance","Warrant Officer"
"7363","CWO - Ordnance","Warrant Officer"
"7365","CWO - Ordnance","Warrant Officer"
"7367","CWO - Ordnance","Warrant Officer"
"7368","CWO - Ordnance","Warrant Officer"
"7381","CWO - Aviation Electronics","Warrant Officer"
"7382","CWO - Aviation Electronics","Warrant Officer"
"7383","CWO - Aviation Electronics","Warrant Officer"
"7385","CWO - Aviation Electronics","Warrant Officer"
"7387","CWO - Aviation Electronics","Warrant Officer"
"7388","CWO - Aviation Electronics","Warrant Officer"
"7391","CWO - Air Traffic Control Technician","Warrant Officer"
"7392","CWO - Air Traffic Control Technician","Warrant Officer"
"7393","CWO - Air Traffic Control Technician","Warrant Officer"
"7395","CWO - Air Traffic Control Technician","Warrant Officer"
"7397","CWO - Air Traffic Control Technician","Warrant Officer"
"7398","CWO - Air Traffic Control Technician","Warrant Officer"
"7401","CWO - Nuclear Power","Warrant Officer"
"7402","CWO - Nuclear Power","Warrant Officer"
"7403","CWO - Nuclear Power","Warrant Officer"
"7405","CWO - Nuclear Power","Warrant Officer"
"7407","CWO - Nuclear Power","Warrant Officer"
"7408","CWO - Nuclear Power","Warrant Officer"
"7421","CWO - Information Systems Technician","Warrant Officer"
"7422","CWO - Information Systems Technician","Warrant Officer"
"7423","CWO - Information Systems Technician","Warrant Officer"
"7425","CWO - Information Systems Technician","Warrant Officer"
"7427","CWO - Information Systems Technician","Warrant Officer"
"7428","CWO - Information Systems Technician","Warrant Officer"
"7431","CWO - Cyber Warrant Officer","Warrant Officer"
"7432","CWO - Cyber Warrant Officer","Warrant Officer"
"7433","CWO - Cyber Warrant Officer","Warrant Officer"
"7435","CWO - Cyber Warrant Officer","Warrant Officer"
"7437","CWO - Cyber Warrant Officer","Warrant Officer"
"7438","CWO - Cyber Warrant Officer","Warrant Officer"
"7441","CWO - Information Warfare Technician","Warrant Officer"
"7442","CWO - Information Warfare Technician","Warrant Officer"
"7443","CWO - Information Warfare Technician","Warrant Officer"
"7445","CWO - Information Warfare Technician","Warrant Officer"
"7447","CWO - Information Warfare Technician","Warrant Officer"
"7448","CWO - Information Warfare Technician","Warrant Officer"
"7451","CWO - Intelligence","Warrant Officer"
"7452","CWO - Intelligence","Warrant Officer"
"7453","CWO - Intelligence","Warrant Officer"
"7455","CWO - Intelligence","Warrant Officer"
"7457","CWO - Intelligence","Warrant Officer"
"7458","CWO - Intelligence","Warrant Officer"
"7471","CWO - Photographer","Warrant Officer"
"7472","CWO - Photographer","Warrant Officer"
"7473","CWO - Photographer","Warrant Officer"
"7475","CWO - Photographer","Warrant Officer"
"7477","CWO - Photographer","Warrant Officer"
"7478","CWO - Photographer","Warrant Officer"
"7481","CWO - Explosive Ordnance Disposal","Warrant Officer"
"7482","CWO - Explosive Ordnance Disposal","Warrant Officer"
"7483","CWO - Explosive Ordnance Disposal","Warrant Officer"
"7485","CWO - Explosive Ordnance Disposal","Warrant Officer"
"7487","CWO - Explosive Ordnance Disposal","Warrant Officer"
"7488","CWO - Explosive Ordnance Disposal","Warrant Officer"
"7491","CWO - Security","Warrant Officer"
"7492","CWO - Security","Warrant Officer"
"7493","CWO - Security","Warrant Officer"
"7495","CWO - Security","Warrant Officer"
"7497","CWO - Security","Warrant Officer"
"7498","CWO - Security","Warrant Officer"
"7521","CWO - Food Service","Warrant Officer"
"7522","CWO - Food Service","Warrant Officer"
"7523","CWO - Food Service","Warrant Officer"
"7525","CWO - Food Service","Warrant Officer"
"7527","CWO - Food Service","Warrant Officer"
"7528","CWO - Food Service","Warrant Officer"
"7531","CWO - Civil Engineer Corps","Warrant Officer"
"7532","CWO - Civil Engineer Corps","Warrant Officer"
"7533","CWO - Civil Engineer Corps","Warrant Officer"
"7535","CWO - Civil Engineer Corps","Warrant Officer"
"7537","CWO - Civil Engineer Corps","Warrant Officer"
"7538","CWO - Civil Engineer Corps","Warrant Officer"
"7561","CWO - Technical Nurse","Warrant Officer"
"7562","CWO - Technical Nurse","Warrant Officer"
"7563","CWO - Technical Nurse","Warrant Officer"
"7565","CWO - Technical Nurse","Warrant Officer"
"7567","CWO - Technical Nurse","Warrant Officer"
"7568","CWO - Technical Nurse","Warrant Officer"
"AA","Airman Apprentice","Enlisted"
"AC","Air Traffic Controller","Enlisted"
"AK","Aviation Storekeeper","Enlisted"
"AM","Aviation Structural Mechanic","Enlisted"
"AMCS","Aviation Structural Mechanic, Senior Chief","Enlisted"
"AME","Aviation Structural Mechanic, Safety Equipment","Enlisted"
"AMH","Aviation Structural Mechanic","Enlisted"
"AMS","Aviation Structural Mechanic","Enlisted"
"AN","Airman","Enlisted"
"AO","Aviation Ordnanceman","Enlisted"
"AR","Airman Recruit","Enlisted"
"AS","Aviation Support Equipment Technician","Enlisted"
"ASE","Aviation Support Equipment Technician, Electrical","Enlisted"
"ASM","Aviation Structural (Mechanic)","Enlisted"
"AT","Aviation Electronics Technician","Enlisted"
"AWCM","Aviation Warfare Systems Operator, Master Chief (AWCM)","Enlisted"
"AWF","Aircrewmen Mechanical (AWF)","Enlisted"
"AWO","Aircrewman Operator (AWO)","Enlisted"
"AWR","Aircrewmen Tactical Helicopter (AWR)","Enlisted"
"AWS","Aircrewmen Helicopter (AWS)","Enlisted"
